time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450000000	15.8824	19.7597	4.82543	2.62867	0.547582	lidar	0.752541	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6959	19.8824	4.77848	2.63503	0.506149	radar	3.27011	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4592	20.0395	4.86841	2.65281	0.497621	lidar	1.26508	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2436	20.1845	4.90055	2.66389	0.477822	radar	5.64878	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0589	20.3125	4.86721	2.67615	0.466581	lidar	1.92822	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8278	20.3961	4.86724	2.71257	0.485517	radar	2.11007	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6129	20.5142	4.87534	2.72957	0.478201	lidar	0.625466	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3731	20.6039	4.90525	2.76435	0.499184	radar	1.22732	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1274	20.6773	4.91903	2.79629	0.506003	lidar	0.682061	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8879	20.7505	4.93503	2.8305	0.523529	radar	0.357831	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6115	20.8156	4.99645	2.86449	0.53061	lidar	1.55725	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3601	20.8488	5.01542	2.91548	0.574908	radar	2.44228	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1179	20.8875	4.99955	2.94857	0.579477	lidar	0.190241	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8846	20.9466	4.98611	2.97041	0.570978	radar	1.78469	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6951	20.9846	4.88742	2.99452	0.568279	lidar	2.09586	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4386	21.0271	4.92455	3.02217	0.569545	radar	2.53163	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1934	21.0636	4.93181	3.047	0.565721	lidar	0.124469	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9541	21.0836	4.93074	3.07798	0.573454	radar	0.980344	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7161	21.0523	4.89399	3.12191	0.589705	lidar	1.96044	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4684	21.039	4.89534	3.15739	0.596827	radar	1.09378	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
